nds,de,title
"De Nacht is swarte, un ok de Dint is swarte. De Nacht un de Dint sünd swarte.","Die Nacht ist schwarz, und auch die Tinte ist schwarz. Die Nacht und die Tinte sind schwarz.",
Opmaal höll de Rulltrepp an.,Plötzlich hielt die Rolltreppe an.,
Se speelt Gitarr.,Sie spielt Gitarre.,
"Ik heff en Fründ, de in Spanien wahnt.","Ich habe einen Freund, der ihn Spanien wohnt.",
Woveel Geld hätt he?,Wie viel Geld hat er?,
He het sick en Snööv von siene Süster infungen.,Er hat sich eine Erkältung von seiner Schwester eingefangen.,
Dat is snaaksch.,Das ist seltsam.,
Wannehr maakt datt Restaurant dicht?,Wann schließt das Restaurant?,
"To, lat uns gohn!","Los, lass uns gehen!",
He deed mi mit en Smüüstern antwoorden.,Er antwortete mir mit einem Lächeln.,
Düsse Satz hört mi.,Dieser Satz gehört mir.,
Düsse Satz hört mi.,Dieser Satz ist von mir.,
Se pruusten alle opmaal los.,Sie lachten alle auf einmal los.,
Ik bün nech trurig.,Ich bin nicht traurig.,
Wullt du noch wat Sooß?,Möchtest du noch etwas Soße?,
He is en Flasskopp.,Er ist blond.,
De Vagel deed na Sebbers söken.,Der Vogel suchte nach Käfern.,
He lett rieke.,Er scheint reich zu sein.,
Waorüm deist du mi datt an?,Warum tust du mir das an?,
He hett för veer Kinner to sorgen.,Er hat vier Kinder zu versorgen.,
"He harrn keen Fründ, de em helpen kunn.","Er hatte keinen Freund, der ihm helfen konnte.",
Twe maol söven is veerteihn.,Zweimal sieben ist vierzehn.,
Twee maal söven is veerteihn.,Zwei mal sieben ist vierzehn.,
Ik heff jümmerto veele to doot.,Ich habe immer viel zu tun.,
Wat deit se?,Was macht sie?,
Opa hätt sick verkeuhlt.,Opa ist erkältet.,
En Book kann mit en Fründ vergleken warrn.,Ein Buch kann mit einem Freund verglichen werden.,
Dat mokt nix.,Das macht nichts.,
Disse Kees hett en basch Smack.,Dieser Käse hat einen scharfen Geschmack.,
He sütt den Busch vör luder Bööm nich.,Er sieht den Wald vor lauter Bäumen nicht.,
"Is hier een, de Chineesch snackt?","Ist hier jemand, der Chinesisch spricht?",
Wullt du wat to drinken?,Willst du etwas zum Trinken?,
Maakt de Ogen apen.,Öffnet die Augen.,
Ik heff en Fraag.,Ich habe eine Frage.,
Se wull gohn.,Sie will gehen.,
Woveel Spraken köönt ji good snacken?,Wie viele Sprachen könnt ihr gut sprechen?,
He harrn en Book in ’e Hand.,Er hatte ein Buch in der Hand.,
Datt is opstunns Saison för Eerdbeern.,Er ist gerade Erdbeerzeit.,
Dat is opstunns Saison för Eerdbeern.,Erdbeeren haben gerade Saison.,
Dat Peerd leeg op ’t Stroh.,Das Pferd lag auf dem Stroh.,
"Nee, ik bün nich gahn.","Nein, ich bin nicht gegangen.",
Ik lees jüst en Book övers Spraken.,Ich lese gerade ein Buch über Sprachen.,
"Poppeer is witt, Köhlenstoff swarte.","Papier ist weiß, Kohlenstoff schwarz.",
Büst du en Yankee?,Bist du ein Yankee?,
De Paal von ’e Arvt is gröön.,Die Erbsenhülse ist grün.,
"Segg mi, wat dor schehn is.","Sage mir, was geschah.",
"Wenn ik dit Leeg höör, denk ik jümmer an mien Schooltied trügg.","Wenn ich dieses Lied höre, erinnere ich mich immer an meine Schulzeit.",
He bliev in ’t Hotel.,Er blieb im Hotel.,
Maak keen Fisematenten!,Mach keine Fisematenten!,
Ik heff dor wat ganz Dulles sehen.,Ich habe etwas sehr Ungewöhnliches gesehen.,
"De Tee is so heet, dat ik den nich drinken kann.","Der Tee ist so heiß, dass ich ihn nicht trinken kann.",
Waorüm fraagst du nicht Tom?,Warum fragst du nicht Tom?,
Vüör twe Weken wees ik datt eerste Mal in Disneyland.,Vor zwei Wochen war ich zum ersten Mal im Disneyland.,
Witt is en Symbool för datt Reine.,Weiß ist ein Sinnbild für Reinheit.,
Man ik kan goods kaken.,Aber ich kann gut kochen.,
Ik bün alltied praat to starven.,Ich bin ständig bereit zu sterben.,
Se kunn ehr Lachen nich trügghollen.,Sie konnte ihr Lachen nicht zurückhalten.,
En bettchen scheif hett Godd leef.,Ein bisschen schief hat Gott lieb.,
Geihst du faken na Kerk?,Gehst du oft in die Kirche?,
Se acht em.,Sie achten ihn.,
En smachtig Hart is leger as en smachtig Darm.,Ein hungriges Herz ist schlechter als ein hungriger Darm.,
"He is krank as en Hohn, mag eten aver nix doon.","Er ist krank wie ein Huhn, er mag essen aber nichts tun.",
Datt Finstern is ut Glas.,Das Fenster ist aus Glas.,
Se hett Ria heten.,Sie hieß Maria.,
Ik will wat Water drinken.,Ich möchte etwas Wasser trinken.,
Wees Tom dor?,War Tom da?,
Ut ’n Daak keem opmaal en Schipp vüör.,Aus dem Dunst erschien plötzlich ein Schiff.,
"Tom un Ria säen, dat se wat mit mi to bespreken harrn.","Tom und Maria sagten, sie müssten mit mir reden.",
He hett dree öllere Süstern.,Er hat drei ältere Schwestern.,
He kennt mi nich.,Er kennt mich nicht.,
’Keen mööt wi inladen?,Wen müssen wir einladen?,
’Keen hett em rinlaten?,Wer hat ihn hereingelassen?,
Ehr Oog rechts is blind.,Ihr rechtes Auge ist blind.,
Ik heff jo nich höört.,Ich habe euch nicht gehört.,
He is en lemmige Person.,Er ist eine lebhafte Person.,
Wannehr is de Regentied toenn?,Wann ist die Regenzeit zu Ende?,
"De Toorn, den ji huer seht, is de Eiffeltoorn.","Der Turm, den Sie hier sehen, ist der Eiffelturm.",
"Ik sla vör, dat du di mol mit Tom ünnerhöllst","Ich schlage vor, dass du dich mal mit Tom unterhältst.",
"Wenn ik unsichtbor wees, dann müss ik nix anhebben.","Wenn ich unsichtbar wäre, dann müsste ich mir nichts anziehen.",
Se deed ehr Shirt plätten.,Sie bügelte ihr Shirt.,
Wo lange mööt wi datt in ’n Aven loten?,Wie lange müssen wir das im Ofen lassen?,
Wi hebbt twe Billy-Regaals von Ikea.,Wir haben zwei Billy-Regale von IKEA.,
"In ’e School hebbt wi lehrt, dat de Wuddel ut negen dree is.","In der Schule haben wir gelernt, dass die Quadratwurzel aus neun drei ist.",
De Klock geiht verkehrt.,Die Uhr geht falsch.,
De Straat is asfalteert.,Die Straße ist asphaltiert.,
De Ries schall dat Water tohoop opnehmen.,Der Reis soll die ganze Flüssigkeit aufnehmen.,
Dinosaurier sünd nu utstorven.,Dinosaurier sind nun ausgestorben.,
Wat för en Film gest du ankeken?,Welchen Film hast du gesehen?,
Wat för en Film hess du ankeken?,Welchen Film hast du angesehen?,
Wat för en Film hest du keken?,Was für einen Film hast du angeschaut?,
Veele jung Mannslüüd tögen in ’n Krigg.,Viele junge Männer zogen in den Krieg.,
Tom sien Huus hett lütten Finster.,Toms Haus hat kleine Fenster.,
Se harrn nich noog Gold.,Sie hatten nicht genug Gold.,
Du speelst good Tennis.,Du spielst gut Tennis.,
Bünt du mit Peter na München?,Hast du Peter nach München begleitet?,
"Ik hööp, dat du keen Mallbüdel büst, oder?","Ich hoffe, dass du kein Verrückter bist, oder?",
De Eerd dreiht sick in üm ub bi 365 Daag üm de Sünn.,Die Erde umkreist die Sonne einmal in ungefähr 365 Tagen.,
"Wenn ik keen Geld harrn, harrn ik keen Huus.","Wenn ich kein Geld gehabt hätte, hätte ich kein Haus.",
De Höhner hebbt Freten söcht.,Die Hühner suchten Nahrung.,
Wi misst di alle teemlich.,Wir vermissen dich alle sehr.,
Do et süms.,Mach es selbst.,
Do et süms.,Mach es selber.,
"Ik heff miene Geld för Kleder, Eten un Beuker utgeven.","Ich habe mein Geld für Kleidung, Essen und Bücher ausgegeben.",
"Kaam ich so lat, okay?","Komm nicht so spät, o.k.?",
"Ik heff Tom seggt, dat ik meud bün.","Ich sagte Tom, ich sei müde.",
Datt is miene Geschenk för di.,Das ist mein Geschenk an dich.,
Wat wullt du to ’n Fröhstück eten?,Was möchtest du zum Frühstück essen?,
Ik bün nu mööd.,Ich bin jetzt müde.,
"Helen, dit is miene Kuseng.","Helen, dies ist mein Cousin.",
De Dezember hett 31 Daag.,Der Dezember hat einunddreißig Tage.,
De Dezember hett 31 Daag.,Der Dezember hat 31 Tage.,
Se het sick de Armkuhlen raseert.,Sie hat sich die Achseln rasiert.,
Du harrst nich so veel Ies eten schullt.,Du hättest nicht so viel Eis essen sollen.,
Wo groot ji sünd!,Wie groß ihr seid!,
Se snack gau.,Sie sprach schnell.,
Is dat hier en Duty-Free-Laden?,Ist das hier ein Duty-Free-Geschäft?,
"Nee, ik sing nich.","Nein, ich singe nicht.",
He will na de Seed fohren.,Er wollte an die See fahren.,
He will na de Seed fohren.,Er wollte ans Meer fahren.,
Woveel Kinner sünd ji?,Wie viele Geschwister seid ihr?,
He hätt mi en Geschenk tostüürt.,Er schickte mir ein Geschenk.,
"Warrn seggt, he is en feinen Keerl.","Es heißt, er sei ein netter Kerl.",
De sitt up’n Pott.,Der ist auf dem Klo.,
De sitt up’n Pott.,Die ist auf dem Klo.,
Goden Nacht!,Gute Nacht!,
Goden Nacht.,Gute Nacht!,
Ik drink jümmer Melk to mien Fröhstück.,Ich trinke immer Milch zu meinem Frühstück.,
Du büst to nix to bruken.,Du bist ein Nichtsnutz.,
Se dröög en witt Kleed.,Sie trug ein weißes Kleid.,
Datt Wederk is goods.,Das Wetter ist schön.,
Wi hebbt na ehr socht.,Wir suchten nach ihr.,
Ut datt Weltall süht de Eerd tæmlich lütt ut.,Aus dem Weltall sieht die Erde sehr klein aus.,
He see faken so Saken.,Er sagte oft solche Sachen.,
Nix is hillig.,Nichts ist heilig.,
Ik kann ahn Feernsehn nich leven.,Ich kann ohne Fernsehen nicht leben.,
Datt heff ik nech weten.,Das wusste ich nicht.,
He is jümmerto untofreden.,Er ist ständig unzufrieden.,
En Quall het ehr staken.,Sie wurde von einer Qualle gestochen.,
De Maker von de Spraak Slovio hätt sogoor en Websteed mit Pornos in de Spraak maakt.,Der Erfinder der Sprache Slovio hat sogar eine Webseite mit Pornos in dieser Sprache gemacht.,
"Disse Kist is to swoor, ehr to böhren.","Diese Kiste ist zu schwer, um sie zu tragen.",
He füng sick n flotten Otto.,Er fing sich Montezumas Rache.,
He hett en Reinmakerfroo.,Er hat eine Putzfrau.,
Se hett em vonmorgen drapen.,Sie traf ihn heute Morgen.,
Ik bün von düsse Drietkeerls schanghait worrn!,Ich wurde von diesen Bastarden schanghait!,
Dat Peerd lööp hart.,Das Pferd lief schnell.,
Ji schullt mehr Grööntüüg eten.,Ihr solltet mehr Gemüse essen.,
Kannst du rieden?,Kannst du reiten?,
Is he al trügg?,Ist er schon zurück?,
"Nee, du dröffst nicht.","Nein, du darfst nicht.",
Warr ich böös.,Werde nicht bös.,
"Ik verstah, wat se meent.","Ich verstehe, was sie meint.",
Du bruukst nech so luut snacken.,Du musst nicht so laut reden.,
"Ik weet nicht, woneem datt is.","Ich weiß nicht, wo das ist.",
"Nüms weet, wo Bill hengahn is.","Keiner weiß, wohin Bill gegangen ist.",
Se het em verklaagt.,Sie hat ihn verklagt.,
Dat sünd mien Bröder.,Das sind meine Brüder.,
Hest du dat al maal maakt?,Hast du es jemals gemacht?,
De Soldaten kunnen em nu sehn.,Die Soldaten konnten ihn nun sehen.,
"Nüms weet, wo he hen utneiht is.","Niemand weiß, wohin er entflohen ist.",
He is en groten Jung.,Er ist ein großer Bub.,
Wat deed ik ahn di doon?,Was soll ich ohne dich machen?,
Wat deed ik ahn di doon?,Was soll ich ohne dich anfangen?,
Ik heff jüst miene Huusopgaven trechkregen.,Ich habe gerade meine Hausaufgaben fertig gemacht.,
"Kann dat angahn, dat dat partu nich klappen will?","Kann das sein, dass das einfach nicht funktionieren will?",
Du gest veele Geld un ik heff keene.,Du hast viel Geld und ich habe keins.,
"Wenn ’t toveel is, is ’t toveel!","Wenn es zu viel ist, ist es zu viel!",
En Kanickel hett lang Ohren un en korten Steert.,Ein Kaninchen hat lange Ohren und einen kurzen Schwanz.,
Jümmer un jümmer wedder hett he mi anlagen.,Immer und immer wieder hat er mich angelogen.,
Un wo schall dat för good wesen?,Und wofür soll das gut sein?,
„Tatoeba“ is japaanschen för „to ’n Bispell“.,„Tatoeba“ bedeutet auf Japanisch „zum Beispiel“.,
Wi mööt jem in ’t Butenland köpen.,Wir müssen sie im Ausland kaufen.,
Dat Huus is bi ’n Brand tohoop dalbrennt.,Das Gebäude brannte bei dem Brand vollständig nieder.,
Ik kenn siene Adress.,Ich kenne seine Adresse.,
Smith is na en Hartinfarkt doodbleven.,Smith ist nach einem Herzinfarkt gestorben.,
Na ’t Avendeten gaht wi all in ’e Stuuv.,Nach dem Abendessen gehen wir alle ins Wohnzimmer.,
Mien Fööt sünd lütt vergleken mit dien.,Meine Füße sind klein verglichen mit deinen.,
Datt is in Japan ich de Fall.,Das ist in Japan nicht der Fall.,
"He seeg ut, as wenn he al Daag nix mehr eten harrn.","Er schaute aus, als ob er tagelang nichts gegessen hatte.",
Wat hest du Mike to ’n Geboortsdag schunken?,Was hast du Mike zum Geburtstag geschenkt?,
Ken hett Tom sien Fründin küsst.,Ken hat die Freundin von Tom geküsst.,
Se hett lang Hoor.,Sie hat langes Haar.,
De Katt slöppt op ’n Disch.,Die Katze schläft auf dem Tisch.,
Worüm höörst du nich op mi?,Warum hörst du mir nicht zu?,
Worüm höörst du nich op mi?,Warum hörst du nicht auf mich?,
He hett veel Böker över Geschicht.,Er hat viele Bücher über Geschichte.,
He hätt veele Böker övers Geschicht.,Er hat viele Geschichtsbücher.,
De Sünn schient in ’e Nacht nich.,Die Sonne scheint nachts nicht.,
Hess du al opwuschen?,Hast du alles abgewaschen?,
"Gode Dag, wat wullt du?","Guten Tag, was möchtest du?",
Katten draagt keene Halsband.,Katzen tragen kein Halsband.,
"Se weet dor mihr övers, as se tosteiht.","Sie weiß mehr darüber, als sie zugibt.",
Dat hett dree Daag slankweg regent.,Es hat drei Tage hintereinander geregnet.,
Ik heff keene Aptiet.,Ich habe keinen Appetit.,
He wees slecht in ’e School.,Er war schlecht in der Schule.,
"De sien Nees afsniddt, schännt sien Gesicht.","Wer seine Nase abschneidet, der verstümmelt sein Gesicht.",
Leed mi nienich wedder an.,Lege dich nie wieder mit mir an.,
Sien Romaan gefallt mi.,Sein Roman gefällt mir.,
Ik bruuk en Tass hitten Kaffee.,Ich brauche eine Tasse heißen Kaffee.,
Gah na ’n Putzbüdel.,Geh zum Friseur.,
Reken hett mit Mathematik so veel to doon as dat Bruken von en Schrievmaschien mit Literatur.,Rechnen hat mit Mathematik so viel zu tun wie das Benutzen einer Schreibmaschine mit Literatur.,
Liekers is dat wohr.,Trotzdem ist es wahr.,
He levt alleen.,Er lebt allein.,
He hett mehr Geld as he tellen kann.,"Er hat mehr Geld, als er zählen kann.",
Wannehr geihst du na Arbeit?,Wann gehst du zur Arbeit?,
Wi gaht na Huus.,Wir gehen nach Hause.,
Ji kriggt mi nienich levig fatt!,Ihr kriegt mich niemals lebendig zu fassen!,
Ik will gern en Dapanji äten!,Ich würde gerne ein Dapanji essen!,
"Mak, wat he di seggt.","Mach, was er dir sagt.",
"Man kann Water drinken, man kann dat aver ook laten.","Man kann Wasser trinken, man kann es aber auch lassen.",
Ik güng bet na de Post.,Ich ging bis zur Post.,
Datt Kind schrieft en Book.,Das Kind schreibt ein Buch.,
Du drinkst toveel Kaffee.,Du trinkst zu viel Kaffee.,
"Du büs de Mann, na den ik socht heff.","Du bist der Mann, nach dem ich gesucht habe.",
Waorüm is datt mitmol so still?,Warum ist es plötzlich so still?,
Ik heff datt Book för tein Dollar kofft.,Ich habe das Buch für zehn Dollar gekauft.,
Se hett em en Book geven.,Sie hat ihm ein Buch gegeben.,
"Ik deed em schrieven, wenn ik sien Adress wüss.","Ich würde ihm schreiben, wenn ich seine Adresse wüsste.",
Mien Hannen sünd ganz klamm vüör Külle.,Meine Hände sind durch die Kälte taub geworden.,
Dat rückt na Kees.,Das riecht nach Käse.,
Se wüllt mi ümbringen.,Sie werden mich umbringen.,
Se wüllt mi ümbringen.,Sie wollen mich umbringen.,
Wo gau se löppt!,Wie schnell sie läuft!,
Datt is to fröh üm optokamen.,"Es ist zu früh, um aufzustehen.",
"Wat wullt du lever, Wittwien odder Roodwien?","Was möchtest du lieber, Weißwein oder Rotwein?",
Wannehr sünd ji vonmorgen opstahn?,Wann seid ihr heute Morgen aufgestanden?,
Bedankt för allen.,Danke für alles.,
Tein Fungene sünd ut datt Fängnis utbraken.,Zehn Häftlinge brachen aus dem Gefängnis aus.,
Wat gest du vergangen Nacht daan?,Was hast du letzte Nacht gemacht?,
Ji schöölt mihr äten.,Ihr solltet mehr essen.,
Du hess en Vogel.,Du hast 'ne Meise.,
Ik heff de Reken betohlt.,Ich bezahlte die Rechnung.,
Ik heff de Reken betohlt.,Ich habe die Rechnung bezahlt.,
Disse Straat warrn bi Gladdies streit.,Diese Straße wird bei Glatteis gestreut.,
Bob deed Preesters warrt.,Bob wurde ein Pfarrer.,
Teh dien Söcken ut.,Zieh deine Socken aus.,
Wohrschau!,Vorsicht!,
Wat för en staatsche Bloom!,Was für eine herrliche Blume!,
Wannehr schall de Welt an ehr Enn kamen?,Wann wird die Erde ihr Ende erreichen?,
Bilütten wennt se sick an datt Läven op ’n Lannen.,Allmählich gewöhnt sie sich an das Leben auf dem Lande.,
Mit ’n Hannel geiht dat bargdal.,Mit dem Handel geht es bergab.,
He deed na sien Hund flöten.,Er pfiff nach seinem Hund.,
"Ik slah vüör, datt du di mol mit Rias ünnerhöllst.","Ich schlage vor, dass du dich mal mit Maria unterhältst.",
"Ik verstah nech, waorüm wi datt doot möten.","Ich verstehe nicht, warum wir das machen müssen.",
He hett dat Huus Klock acht verlaten.,Er verließ das Haus um acht Uhr.,
Haal man ehr Medizin un en Glas Woter.,Hole ihre Medizin und ein Glas Wasser.,
Uns Schoolmeester is komen.,Unser Lehrer ist gekommen.,
’Keen nöhm ik denn?,Wen nehme ich denn?,
Melk? Sucker?,Milch? Zucker?,
Keen Steern wees an ’n Heven to sehn.,Kein Stern war am Himmel zu sehen.,
Datt is mi piepegal.,Ist mir doch wurscht.,
Datt is mi piepegal.,Das is' mir schnurzpiepe.,
De Äquater deelt de Eer in twee Halvscheden.,Der Äquator teilt die Erde in zwei Halbkugeln.,
Datt is mien Süster.,Das ist meine Schwester.,
’Keen hett hier woll de Goldbarren inkuhlt?,Wer hat hier wohl die Goldbarren vergraben?,
"Wi hebbt in ’e School lehrt, dat Shakespeare 1564 boren is.","Wir lernten in der Schule, dass Shakespeare im Jahre 1564 geboren wurde.",
Mannslüüd kören man nicht oft vun ehr Problemen.,Männer reden selten über ihre Probleme.,
Ik will mi en Poor Skisteveln köpen.,Ich möchte mir ein Paar Skischuhe kaufen.,
Ik bruuk en neet Fohrrad.,Ich brauche ein neues Fahrrad.,
"Sue hett en dicken Achtersteven, aver dat maakt ehr nix.","Sue hat einen großen Hintern, aber sie macht sich nichts daraus.",
Uns Tog höll opmaal an.,Unser Zug hielt plötzlich an.,
Se het em narrt.,Sie hat ihn genarrt.,
In teihn Minuten eet wi to Middag.,In zehn Minuten essen wir zu Mittag.,
"Ik wees an ’e Tuur, de Komer reinmaken.","Ich war an der Reihe, das Zimmer zu putzen.",
De Penn is harter as dat Sweerd.,Die Feder ist stärker als das Schwert.,
Stopp dat Baby nich in ’n Sack!,Stopfe das Baby nicht in den Sack!,
Datt is to snell.,Das ist zu schnell.,
He hett Problemen in ’e School.,Er hat Probleme in der Schule.,
Woveel Mangos wullt du?,Wie viele Mangos möchtest du?,
De Buurhoff grenzen an de Straat.,Der Bauernhof grenzt an die Straße.,
