nds,de,title
Ik heff in Room levt.,Ich lebte in Rom.,
He höört gern Radio.,Er hört gerne Radio.,
De Regent het veer Daag duurn.,Der Regen hielt vier Tage an.,
Mak diene Book nech apen.,Nicht das Buch aufschlagen!,
Ik heff di socht.,Ich habe dich gesucht.,
Datt is nu Harvst.,Es ist jetzt Herbst.,
Waorüm kannst du vergangen Nacht nicht toslapen?,Warum konntest du letzte Nacht nicht schlafen?,
He süng un süng.,Er sang und sang.,
Mayuko schree luut.,Mayuko schrie laut.,
He nehm en Taxi na ’n Flegerhaven.,Er nahm ein Taxi zum Flughafen.,
"Ik mag de Oort, woans du löppst.","Ich mag die Art, wie du läufst.",
"Wi hebbt datt, wat du wullt, ich.","Wir haben das, was du willst, nicht.",
Uns Söön is in ’n Krigg dootbleven.,Unser Sohn ist im Krieg gefallen.,
Wannehr fohrt ji dit Joht in de Feerne?,Wann fahrt ihr dieses Jahr in die Ferien?,
Bi Gefohr op düssen Knoop drücken.,Bei Gefahr auf diesen Knopf drücken.,
Du harrst ehrder komen schöölt.,Du hättest früher kommen sollen.,
Prag is tæmlich schöön.,Prag ist sehr schön.,
Hebbt ji datt Finstern apen loten?,Habt ihr das Fenster offen gelassen?,
Kartuffelchips sünd nech goods för di.,Kartoffelchips sind nicht gut für dich.,
"Wettst du, waorüm de Heven blau utsütt?","Kennst du den Grund, warum der Himmel blau aussieht?",
Dorop kaast du spejen!,Darauf kannst du dich verlassen!,
Wo küsst du her?,Woher kommst du?,
Wo küsst du her?,Wo kommst du her?,
Ik eet giern Schokoladenies.,Ich esse gern Schokoladeneis.,
"Wenn Tom datt rutkriggt, bringen he mi üm.","Wenn Tom dahinterkommt, bringt er mich um.",
He pleeg Bier to drinkt.,Ich pflege Bier zu trinken.,
Överrsett un swieg!,Übersetz und schweig!,
"En Idee is en immateriell Modell von en reaal odder annahmen Element von de Realität. En Idee is en Deel von uns Gedanken. Wenn wi wat denkt, is düsse enkelte dachte Saak en Idee. De Ideen sünd de Atooms von de Gedanken un de Gedank is en Kumbinatschoon von Ideen.","Eine Idee ist ein immaterielles Modell eines tatsächlichen oder angenommenen Elements der Realität. Eine Idee ist ein Bestandteil unseres Gedankens. Wenn wir etwas denken, ist diese einzelne gedachte Sache eine Idee. Die Ideen sind die Atome des Gedankens und der Gedanke ist eine Kombination von Ideen.",
Düsse Seed is de deepste Seed in Japan.,Dieser See ist der tiefste See in Japan.,
Siene Gesicht wees mit Mudd vullkleit.,Sein Gesicht war von Schlamm bedeckt.,
Wat gest du för Plään för vonavend?,Was hast du für Pläne für heute Abend?,
Ies smölt un warrn to Woter.,Eis schmilzt und wird zu Wasser.,
Ik heff en Appelkoken backt.,Ich backte einen Apfelkuchen.,
Ik heff en Appelkoken backt.,Ich habe einen Apfelkuchen gebacken.,
Se geit gern na ’n Strand.,Sie geht gerne an den Strand.,
Kööp op diene Nahuusweg en bäten Tofu.,Kauf auf deinem Heimweg ein bisschen Tofu.,
Datt is mi puttegal.,Das ist mir total egal.,
He mag de Arbeit in ’n Goorn.,Er mag die Gartenarbeit.,
"Jo, wi schöölt ganz vörsicht wäsen.","Ja, wir sollten sehr vorsichtig sein.",
Hess du vonmorgen de Narichten in ’t Radio hört?,Hast du heute Morgen die Nachrichten im Radio gehört?,
Oma kiekt giern Feernsehn.,Oma schaut gerne Fernsehen.,
’Keene utsnackt se mit?,Mit wem spricht sie?,
Ik heff veele Geld op miene Spoorbook.,Ich habe viel Geld auf meinem Sparbuch.,
Fleesch un Eier hebbt veele Protein.,Fleisch und Eier enthalten viel Proteine.,
De Bier rükt goods.,Die Birne riecht gut.,
"So junge as he is, is he doch en gode Avkaat.","So jung er ist, ist er doch ein guter Anwalt.",
Lat mi nienich gohn.,Lasse mich niemals gehen.,
Ik tööv op miene Fründin.,Ich warte auf meine Freundin.,
En Thermometer is en Reedschop üm de Temperatur to meten.,"Ein Thermometer ist ein Gerät, um die Temperatur zu messen.",
Datt Fever hätt daalt.,Das Fieber ist gesunken.,
"Stöört jo datt, wenn ik smöök?","Stört es euch, wenn ich rauche?",
Datt Wöörbook op ’n Disch hört mi to.,Das Wörterbuch auf dem Tisch gehört mir.,
Mien Tante het mi Blomen bröcht.,Meine Tante hat mir Blumen gebracht.,
Waorüm wüllt ji datt Book köpen?,Wieso wollt ihr das Buch kaufen?,
Wokeen hätt datt Universum schapen?,Wer hat das Universum erschaffen?,
Datt wees en Hunnert-Dollar-Schien.,Das war ein Hundert-Dollarschein.,
Bi Nacht süht allen anners ut.,In der Nacht sieht alles anders aus.,
"Datt süht veele leger ut, as datt is.","Es sieht viel schlimmer aus, als es ist.",
Du seggst beters nix.,Du sagst besser nichts.,
"Oh nee, ik heff ut Versehn miene Fingers afsaagt! Wat nu?",O nein! Ich habe aus Versehen meinen Finger abgesägt! Und was jetzt?,
"Oh nee, ik heff ut Versehn miene Fingers afsaagt! Wat nu?",O nein! Ich habe mir aus Versehen den Finger abgesägt! Was nun?,
Tom stünn in ’e Midd von ’e Komer.,Tom stand in der Mitte des Zimmers.,
Wi kickt naenanner.,Wir schauen nach den anderen.,
Magst du lever Katten odder Hunnen?,Magst du lieber Katzen oder Hunde?,
Datt deed na Rook reken.,Es roch nach Rauch.,
"Den een siene Broot, den anneren siene Dood.","Des einen Brot, des anderen Tod.",
Ik harrn datt nicht seggen schöölt.,Ich hätte das nicht sagen sollen.,
Ik heff dulle Tähnwehdaag.,Ich habe starke Zahnschmerzen.,
Smöken in’t Bett is gefährlich.,Rauchen im Bett ist gefährlich.,
Man kan em nix afslahn.,Man kann ihm nichts abschlagen.,
Sundheit is mihr weerd as Gold.,Gesundheit ist mehr wert als Gold.,
Tom mag Kees.,Tom mag Käse.,
Köönt ji datt Fenster apen moken?,Könnt ihr das Fenster öffnen?,
Veele Kinners speelt an ’n Sandstrand.,Viele Kinder spielen am Sandstrand.,
Kelantan is een von de Staten in West-Malaysia.,Kelantan ist einer der Staaten von West-Malaysia.,
Köönt ji en bäten suutjer snacken?,Könntet ihr ein bisschen langsamer sprechen?,
Ik schull beters an miene Diploomarbeid arbeden.,Ich sollte lieber an meiner Diplomarbeit arbeiten.,
"Ik heff en Splinter in ’n Fingers, man ik krigg em ich rut.","Ich habe einen Splitter im Finger, aber ich bekomme ihn nicht raus.",
Utsnackt huer een Japaanschen?,Spricht hier jemand Japanisch?,
Dor is keene Film in ’e Kamera.,Es ist kein Film in der Kamera.,
Ik kiek na miene Brill.,Ich schaue nach meiner Brille.,
He het man leddige Stroh döscht.,Er drosch nur leeres Stroh.,
Gröttern is nech jümmerto beters.,Größer ist nicht immer besser.,
Datt geit nicht.,Das ist nicht möglich.,
Opwaken is datt Gegendeel von Slapen.,Aufwachen ist das Gegenteil von Einschlafen.,
Wannehr schall de Fleger in Guadalajara ankamen?,Wann soll das Flugzeug in Guadalajara ankommen?,
Wannehr schall de Fleger in Guadalajara ankamen?,Wann soll der Flieger in Guadalajara ankommen?,
"Se fraagt, wo datt mööglich is.","Sie fragt, wie das möglich ist.",
"Kunnst du verkloren, wat datt huer is?","Kannst du mir erklären, was das hier ist?",
Datt is ünner ’n Disch.,Es ist unter dem Tisch.,
"Wat ook de Grund wäsen mag, se hebbt sick ich freet.","Was auch der Grund gewesen sein mag, sie haben nicht geheiratet.",
Ook so.,Ebenfalls.,
"He utsnackt, as wenn he allen weet.","Er redet, als wüsste er alles.",
Sünd dor noog Stöhl för alle?,Gibt es noch genügend Stühle für alle?,
Ik besöök en Fründ in ’t Krankenhuus.,Ich besuche einen Freund im Krankenhaus.,
Wi hebbt uns Hund White nöömt.,Wir haben unseren Hund White genannt.,
Disse Satz is keene Satz.,Dieser Satz ist kein Satz.,
Se bliev still.,Sie blieb still.,
Ik heff miene Navers to ’t Avendenten inlaadt.,Ich habe meine Nachbarn zum Abendessen eingeladen.,
Waals sünd jüstso Söögdeerten as Peer.,Wale sind genauso Säugetiere wie Pferde.,
"Du gest vergeten, an’t Enn vun’n Satz en Punkt to setten.","Du hast vergessen, am Ende des Satzes einen Punkt zu setzen.",
"’Keene is de klöökste Person, de ji kinnt?","Wer ist die klügste Person, die ihr kennt?",
Wat wullt du in Tōkyō?,Was willst du in Tōkyō?,
Wat wullt du in Tōkyō?,Was willst du in Tokyo?,
Ehr Nees blöddt.,Ihre Nase blutet.,
He hätt de ganze Melk utpütschert.,Er verschüttete die ganze Milch.,
He is meist jüstso groot as se.,Er ist ungefähr so groß wie sie.,
Dor keem nüms.,Es kam niemand.,
Wat maakt joon öllere Süster nu?,Was macht eure ältere Schwester gerade?,
Holthüüs brent licht.,Holzhäuser sind leicht entflammbar.,
Ik heff datt hill.,Ich habe es eilig.,
Hess du al Meddag eten?,Hast du schon zu Mittag gegessen?,
"Wullt du seggen, datt ik keene Brägen heff?","Willst du sagen, dass ich kein Hirn habe?",
Ik kan nech smeuken.,Ich kann nicht rauchen.,
Ik roop in twintig Minuten wedder an.,Ich rufe in zwanzig Minuten wieder an.,
He harrn en masse Frünn.,Er hat eine ganze Menge Freunde.,
Gest du mi verstaht?,Hast du mich verstanden?,
"Jo, ik heff söss Maol fraagt.","Ja, ich habe sechs Mal gefragt.",
Alle Dörper woren schöön.,Alle Dörfer waren schön.,
En Golfball het Tom drapen.,Ein Golfball hat Tom getroffen.,
Besinnen du di?,Erinnern Sie sich?,
"Men brukt so bi tein Minuten, üm en Ei to kaken.","Man braucht etwa zehn Minuten, um ein Ei zu kochen.",
Se is nicht in ’e Köök un ook ich in ’e Stuuv.,Sie ist weder in der Küche noch im Wohnzimmer.,
Düsse Jund is fuul.,Dieser Knabe ist faul.,
Un nu schöölt wi allen vergäten.,Und jetzt sollten wir alles vergessen.,
"Ik kenn den Börgermeester nech, man ik deed em gern kennenlehren.","Ich kenne den Bürgermeister nicht, aber ich würde ihn gern kennenlernen.",
Se seet un hätt en Zigarett anstaken.,Sie saß und steckte sich eine Zigarette an.,
He kriegt en gode Lohn.,Er bekommt einen guten Lohn.,
Aftöven un Tee drinkt.,Abwarten und Tee trinken.,
Darop kaas du spejn.,Das kannst du so annehmen.,
He frööh: „Wat deist du?“,Er fragte: „Was tust du?“,
"Ik heff hört, Tom is keene gode Schoolmeester.","Ich hörte, Tom sei kein guter Lehrer.",
"Ierst wenn du in ’n Sark liggst, hebbt se di datt letzte Mal rinleggt!","Erst wenn du im Sarg liegst, hat man dich das letzte Mal reingelegt!",
Af un to deööm ik von tohuus.,Ab und zu träume ich von zuhause.,
Af un to deööm ik von tohuus.,Manchmal träume ich von daheim.,
An wat för en Dag hess du normalerwies free?,An welchem Tag hast du normalerweise frei?,
Ik bün hellschen bange vüör Snaken.,Ich fürchte mich vor Schlangen.,
Wi hebbt se temlich goot kinnt.,Wir kannten sie sehr gut.,
De Disko is leddige.,Die Disko ist leer.,
Se hebbt düsse Bööm plant.,Sie haben diese Bäume gepflanzt.,
He nöhm Afscheen von uns un tröck dor von af.,Er nahm Abschied von uns und ging fort.,
"Wenn en Steertpogg wasst, dunn geit de Steert weg un de Been anfangt datt Wassen an.","Wenn eine Kaulquappe wächst, verschwindet der Schwanz und die Beine beginnen sich zu bilden.",
Se wees vüör ehrn egenen Schadden bange.,Sie fürchtete sich vor ihrem eigenen Schatten.,
No drie Minuten is Tom datt langwielig worrn.,"Nach drei Minuten fing Tom an, sich zu langweilen.",
"Du snackst Russ’sch, odder?","Du sprichst Russisch, oder?",
Datt Gebüüd is hunnert Meter hoog.,Das Gebäude ist hundert Meter hoch.,
Se deed de Tietschrift dörbladern.,Sie hat die Zeitschrift durchgeblättert.,
Se deed de Tietschrift dörbladern.,Sie hat die Illustrierte durchgeblättert.,
Ik heff mi en Kamern mit em deelt.,Ich habe mit ihm ein Zimmer geteilt.,
"Ik kan datt nicht rutkriegen, wat de Schriever seggen wull.","Ich kann nicht herausfinden, was der Autor versucht zu sagen.",
He is al drie Joht in Japan.,Er ist schon drei Jahre in Japan.,
Miegremen hebbt en goods organiseert Sellschop.,Ameisen haben eine gut organisierte Gemeinschaft.,
Ik bün goods in Mathe.,Ich bin gut in Mathe.,
Ik bün rachter allen achterkamen!,Ich habe alles entdeckt!,
Datt is Kabbes.,Das ist Mist.,
Waorüm büs du so wöterig?,Warum bist du so zornig?,
Waorüm böst du so wöterig?,Warum bist du so erbost?,
Ik wees fööfteihn Joht lange Schoolmeester.,Ich war fünfzehn Jahre lang Lehrer.,
Du schullst em üm Raat frogen.,Du solltest ihn um Rat fragen.,
"Segg ees, bünt du mall?","Sag mal, bist du verrückt?",
Ik weet ich. Datt hangt von ’n Pries af.,Ich weiß nicht. Das hängt vom Preis ab.,
Ik harrn tovör noch nien von Lviv hört.,Ich hatte nie zuvor von Lviv gehört.,
Se kinnt Tom.,Sie kennt Tom.,
Düsse Scheer is nee.,Diese Schere ist neu.,
Nöhm de Appelsienen ut ’n Köhlschapp.,Nehmen Sie die Orangen aus dem Kühlschrank.,
Ik wull diene Geld nech.,Ich will dein Geld nicht.,
De Katte itt jüst.,Die Katze frisst gerade.,
"Ik heff Tom froogt, of he se goot kenn.","Ich fragte Tom, ob er sie gut kenne.",
Wat is lichter: een Kilo Gold odder een Kilo Sülver?,Was ist leichter: ein Kilo Gold oder ein Kilo Silber?,
Se het mit em danst.,Sie hat mit ihm getanzt.,
Ik heff een Stünn lange mit ehr utsnackt.,Ich redete eine Stunde lang mit ihr.,
"Dicke hätt vüör, alleen to gohn.","Dick plant, alleine zu gehen.",
Hebbt ji al Avenbrood äten?,Habt ihr schon zu Abend gegessen?,
Bob un Tom sünd Bröder.,Bob und Tom sind Brüder.,
Wat het düsse Stohl huer to söken?,Was hat der Stuhl hier zu suchen?,
Tom geiht to sülve School as Mary.,Thomas besucht die gleiche Schule wie Maria.,
"Gest du Lust, mit mi to danzen?","Hättest du nicht Lust, mit mir zu tanzen?",
He is ut Georgia.,Er ist aus Georgia.,
Tom bröch Rias to’n Lachen.,Tom brachte Maria zum Lachen.,
"Wat schull wol passeren, wenn twe Grootmächt mit verschedene Spraken, so as to ’n Bispell de USA un China, sick enig warrt schullt, versöökswies in de Grundscholen Esperanto to lihren?","Was würde geschehen, wenn zwei Großmächte mit verschiedenen Sprachen, wie z. B. USA und China, übereinkommen würden, versuchsweise das Lernen von Esperanto in den Grundschulen einzuführen?",
Mi hätt en Katz kleit.,Ich wurde von einer Katze gekratzt.,
"Se het en Dochter, de Mary heet.",Sie hat eine Tochter namens Mary.,
Mayuko unn mi keene Antwoort op miene Fraag gäven.,Mayuko kann mir keine Antwort auf meine Frage geben.,
Se is dreeundörtig.,Sie ist dreiunddreißig.,
"Du musst sweren, datt du diene Verspreken höllst.","Du musst schwören, dass du dein Versprechen halten wirst.",
"Datt is roor, datt de Postbaad noch nicht komen is.","Es ist merkwürdig, dass der Postbote noch nicht gekommen ist.",
Vertell wieder.,Erzähl weiter.,
De automaatsche Spraakkenner geit wedder ich.,Die automatische Spracherkennung funktioniert schon wieder nicht mehr.,
Ik heff frisch Broot kofft.,Ich habe frisches Brot gekauft.,
Wi künnt nix moken.,Wir können nichts machen.,
"Ik bün dwungen worrn, Spaansche to lihren.","Ich wurde gezwungen, Spanisch zu lernen.",
"’Keene in de Kerk geit, löövt an God.","Wer in die Kirche geht, glaubt an Gott.",
"Du kunnst weglopen, aver du kunnst di nech versteken.","Du kannst weglaufen, aber du kannst dich nicht verstecken.",
Is Tony dor?,Ist Tony da?,
He pack mi an ’n Kragen.,Er packte mich am Kragen.,
Greta geit na de Baadschop.,Greta geht zur Botschaft.,
"Se wees blind, doof un stumm.","Sie war blind, taub und stumm.",
Se müss mihr as een Stünn töven.,Sie musste mehr als eine Stunde warten.,
Wo romantisch!,Wie romantisch!,
Een Swülk maakt noch keene Sommer.,Eine Schwalbe macht noch keinen Sommer.,
De Daak deed gau dichters warrt.,Der Nebel wurde schnell dichter.,
"Slöppst du, Tom?","Schläfst du, Tom?",
Siene Vaderland is Georgien.,Sein Vaterland ist Georgien.,
Ik heff Sachiko lever as Akiko.,Ich habe Sachiko lieber als Akiko.,
He is veele beters as du.,Er ist viel besser als du.,
Een unn sien Frogen nicht verstohn.,Man konnte seine Fragen nicht verstehen.,
Alle datt Fleesch wees slecht.,Das ganze Fleisch war schlecht.,
Ik heff Tom al schräven.,Ich habe Tom bereits geschrieben.,
Wat en warme Dag!,Was für ein warmer Tag!,
De Steern is mit datt blote Oog to sehen.,Der Stern ist mit bloßem Auge sichtbar.,
Ik heff tein Eier kofft.,Ich habe zehn Eier gekauft.,
He is groot un se ook.,Er ist groß und sie auch.,
Fohrt he mit ’n Buss na Arbeit?,Fährt er mit dem Bus zur Arbeit?,
He fohrt mit ’n Buss na Arbeit?,Er fährt mit dem Bus zur Arbeit?,
Ik heff dit Leeg för ehr schräven.,Ich habe dieses Lied für sie geschrieben.,
Wi togen us an.,Wir zogen uns an.,
De Junge hätt nix to äten.,Der Junge hat nichts zu essen.,
Se nickköppen sick to.,Sie nickten sich zu.,
Se nickköppen sick to.,Sie nickten einander zu.,
De Stroom warrn an düsse Steed opmaal enger.,Der Fluss wird an dieser Stelle plötzlich enger.,
"Ik verstoh ich, wat he seggt.","Ich verstehe nicht, was er sagt.",
Ik unn em meist nech verstaht.,Ich konnte ihn kaum verstehen.,
Se draagt en smucker Slips.,Sie tragen einen hübschen Schlips.,
Wi sünd achte Lüdd.,Wir sind 8 Personen.,
Ik verkööp online Klamotten.,Ich verkaufe Kleider online.,
Ik verkööp online Klamotten.,Ich verkaufe Kleider im Internet.,
Tom open en Book.,Tom öffnete ein Buch.,
Du musst opholen mit Drinkt.,Du musst mit Trinken aufhören.,
De Jund smeet mit en Steen na ’n Pogg.,Der Junge schmiss einen Stein nach dem Frosch.,
Ji sünd Kinners.,Ihr seid Kinder.,
Veele Kinners hört den Verscheel nicht so goods.,Viele Kinder hören den Unterschied nicht so gut heraus.,
Ik wull di to ’n Geboortsdatum en Fohrrad schenkt.,Ich möchte dir zum Geburtstag ein Fahrrad schenken.,
Wullt du en Köppken Kaffee?,Möchtest du ein Tässchen Kaffee?,
Datt warrn jeden Dag hitter.,Es wird täglich heißer.,
Kan ik mi huer hensetten?,Kann ich mich hier hinsetzen?,
"Man lihrt en fremde Spraak op’t beste, wenn man in datt Land leevt, wo de utsnackt warrn.","Man lernt eine fremde Sprache am besten, wenn man in dem Land lebt, in dem sie gesprochen wird.",
"Nu wasst tohoop, wat tohoop hört!","Jetzt wächst zusammen, was zusammen gehört!",
He het twe Maol heiraadt un harrn mihr as twintig Kinners.,Er hat zweimal geheiratet und hatte mehr als zwanzig Kinder.,
Woveel Äppel hess du eten?,Wie viele Äpfel hast du gegessen?,
Se hätt em in ’n Zoo mitnahmen.,Sie hat ihn in den Zoo mitgenommen.,
Miene Huus is groot.,Mein Haus ist groß.,
De Bäten bliev em in ’n Hals steken.,Der Bissen blieb ihm im Halse stecken.,
Du büs datt föffte Rad an ’n Wogen.,Du bist das fünfte Rad am Wagen.,
"Opa is na ’t Krankenhuus fohrt, as siene Enkel sick siene Enkel braken harrn.","Opa ist ins Krankenhaus gefahren, als sich sein Enkel seinen Knöchel gebrochen hatte.",
De Junge is in de Slaveree verköfft worrn.,Der Junge wurde in die Sklaverei verkauft.,
Kunnst du mi helpen?,Kannst du mir helfen?,
