nds,de
Ümmer den Brägen inschalten voorn kwatern.,Bitte vor dem Sprechen das Gehirn einschalten.
"Ik bün Finn, man ik snack ook Sweedsch.","Ich bin Finne, aber ich spreche auch Schwedisch."
Se hett em angrepen.,Sie hat ihn angegriffen.
Dit Huus is jüstso groot as dat annere.,Dieses Haus ist so groß wie das andere.
He harr en Unfall un hett sik dor wat bi braken.,Er hatte einen Unfall und hat sich dabei etwas gebrochen.
He is dit Johr dree Zentimeter wussen.,Er ist dieses Jahr drei Zentimeter gewachsen.
Ik heff grote Lust em to sehn.,"Ich habe große Lust, ihn zu sehen."
Se hett twee Poor Söcken köfft.,Sie kaufte zwei Paar Socken.
Schriev dien Adress hier op.,Schreibe deine Adresse hier auf.
Hest du dien Pass dorbi?,Hast du deinen Pass dabei?
Worüm hett he disse Steed opgeven?,Warum hat er diese Stelle aufgegeben?
Tom weer nich lang in ’n Supermarkt.,Tom war lange nicht im Supermarkt.
"Dit hier is en Satz, de von de Sülventall her, en good Haiku is.","Das hier ist ein Satz, dessen Silbenanzahl die, eines Haikus ist."
Wat mookt Tom un Ria hier?,Was machen Tom und Maria hier?
Dick hett Klaveer speelt un Lucy süng.,Dick spielte Klavier und Lucy sang.
Ik verbeed di to smöken.,Ich verbiete dir zu rauchen.
Se stünnen stünnenlang in ’n Stau.,Sie steckten stundenlang im Stau.
"Hest du weten, dat Keerls, de jümmer de Antibaby-Pill nehmt, nich swanger warrt?","Wusstest du, dass Männer, die regelmäßig die Anti-Baby-Pille einnehmen, nicht schwanger werden?"
"Hest du weten, dat Keerls, de jümmer de Antibaby-Pill nehmt, nich swanger warrt?","Wusstest du, dass Männer, die regelmäßig die Anti-Baby-Pille nehmen, nicht schwanger werden?"
Ik drink nienich Beer.,Ich trinke niemals Bier.
Inge hett en dicken Moors.,Inge hat einen dicken Hintern.
Schall ik den Nacken utraseren?,"Möchten Sie, dass ich Ihnen den Nacken ausrasiere?"
Föhlst du di süük?,Fühlst du dich krank?
Wat schall ik doon?,Was soll ich tun?
Use School wöör nich so groot as diene.,Unsere Schule war nicht so groß wie deine.
"Wat is grötter, de Sünn oder de Eer?","Was ist größer, die Sonne oder die Erde?"
Ik ünnerstütt em.,Ich unterstütze ihn.
De Wunn deed Mateer afgeven.,Die Wunde eiterte.
Ik heff al siet söß Stünnen keen Schokolaad mehr eten.,Ich habe schon seit sechs Stunden keine Schokolade mehr gegessen.
Mien Dochter speelt geern mit Poppen.,Meine Tochter spielt gerne mit Puppen.
"Wat meenst du, wo groot miene Dochter in dree Johr wesen schall?","Was meinst du, wie groß meine Tochter in drei Jahren sein wird?"
Dat seed de jüngere von de Bröder.,Das sagte der jüngere der Brüder.
He weer villicht krank.,Er war vielleicht krank.
Denk dor ees över na.,Denke darüber nach.
Ik heff jüst nix to doon.,Ich bin gerade nicht beschäftigt.
Dat sütt ook en Blinnen.,Das sieht auch ein Blinder.
Worüm köönt wi uns nich sülvens ketteln?,Wieso können wir uns nicht selber kitzeln?
Wi föhrt mit ’n Bus na School.,Wir fahren mit dem Bus zur Schule.
Översett den Satz mol in’t Esperanto!,Übersetz den Satz mal ins Esperanto!
Disse Romaan besteiht ut dree Delen.,Dieser Roman besteht aus drei Teilen.
He deed sik dalsetten un hett Daagbladd leest.,Er setzte sich und las die Zeitung.
Se snackt nich use Spraak.,Sie spricht nicht unsere Sprache.
Wo düür is dat?,Wie teuer ist dies?
Villicht ännert he sien Verscheel.,Vielleicht ändert er seine Meinung.
Gode Nacht alltohoop!,Gute Nacht alle zusammen!
Opstunns wahn ik bi mien Unkel.,Zurzeit wohne ich bei meinem Onkel.
Hool de Vaas in beid Hannen.,Halte die Vase in beiden Händen.
"Tom is de Jung, wo ik von kört heff.","Tom ist der Junge, über den ich geredet habe."
Wo breed is dat?,Wie breit ist es?
Wat is dien leevste Soort Appel?,Was ist deine beliebteste Apfelsorte?
Is Cathy ook gahn?,Ist Cathy auch gegangen?
Ik besöök New York dat eerste Maal.,Ich besuchte New York zum ersten Mal.
Ik slaap nich noog.,Ich schlafe nicht genug.
He keem dree Daag later trügg na Huus.,Er kam drei Tage später nach Hause zurück.
"As wi op Reisen weren, hett sik en Naver üm uns Katt kümmert.","Während wir im Urlaub waren, hat sich ein Nachbar um unsere Katze gekümmert."
Susie ehr Hoor sünd temlich lang.,Susies Haare sind sehr lang.
Ik kööp geern in ’t Internett in.,Ich mache gerne Einkäufe im Internet.
De Sweizers drinkt veel Beer.,Die Schweizer konsumieren viel Bier.
"Dat spiet mi, dat ik de Changs misst heff ehr to drepen.","Das ärgert mich, dass ich die Chance verpasst habe, sie zu treffen."
Polen is en groot Land.,Polen ist ein großes Land.
Se mööt dor dat dubbelte von eten.,Sie müssen davon das Doppelte essen.
Se deed blangen em sitten.,Sie saß neben ihm.
Se deed ehren witten Rock rood farven.,Sie färbte ihren weißen Rock rot.
Ik bün Amerikaansch.,Ich bin Amerikaner.
De Vulkaan speet Flammen un Lava ut.,Der Vulkan speit Flammen und Lava aus.
Dat weer de dröögste Juni in dörtig Johr.,Das war der trockenste Juni in dreißig Jahren.
Hebbt ji den Unfall mit egen Ogen sehn?,Habt ihr den Unfall mit eigenen Augen gesehen?
As Kind heff ik geern Moltkaffe drunken.,Als Kind habe ich gern Malzkaffee getrunken.
De Katt is bruun.,Die Katze ist braun.
Ehr Kledaasch stinkt jümmer.,Ihre Kleidung stinkt immer.
De Pracher harr man een Hund.,Der Bettler hatte nur einen Hund.
Du schusst man dat Smöken opgeven.,Du solltest mit dem Rauchen aufhören.
Ik heff mit mien Hand lang twischen ehr Been rümtiepelt.,Ich habe meine Hand lange zwischen ihren Schenkeln wandern lassen.
"Harr ik düssen Fleger nahmen, denn schull ik nu woll nich mehr leven.","Wenn ich dieses Flugzeug genommen hätte, wäre ich jetzt nicht mehr am Leben."
Wi bruukt joon Geld nich.,Wir brauchen euer Geld nicht.
Ik heff en Romaan schenkt kregen – von mien Fründ!,Ich habe einen Roman geschenkt bekommen – von meinem Freund!
Uns Firma is en GmbH.,Unsere Firma ist eine GmbH.
Ik heff lagen.,Ich habe gelogen.
Jümmer nöölt se över dat Eten.,Immer beschwert sie sich über das Essen.
Tom is noch jümmer buten.,Tom ist noch immer draußen.
Ik speel geern Gitarr.,Ich spiele gerne Gitarre.
’Keen is dien Avkaat?,Wer ist dein Anwalt?
He is so groot as ik.,Er ist so groß wie ich.
He helpt ehr.,Er hilft ihr.
He hett en lange Nees.,Er hat eine lange Nase.
He hett anbaden mittohelpen.,"Er hat angeboten, mitzuhelfen."
Na ’t Museum musst du mit dissen Bus.,Zum Museum musst du diesen Bus nehmen.
Maak dat sülvst!,Tu es selbst!
Ik heff ehr för Minako hollen. De beiden seht sik so gliek.,Ich habe sie für Minako gehalten. Sie ähneln sich so sehr.
Se kunnen good rieden un scheten.,Sie konnten gut reiten und schießen.
De Kraans maakt jemehr Nesten faken in de Klockentoorns von Karken.,"Die Kraniche tendieren dazu, ihre Nester in den Glockentürmen der Kirchen zu bauen."
De Krieg hett dat amerikaansche Volk eent.,Der Krieg hatte das amerikanische Volk geeint.
Se itt geern Ies.,Sie isst gerne Eis.
Se leest jüst dat Bladd.,Sie lesen gerade die Zeitung.
Ik heff mehr as twee Stünnen töövt.,Ich habe mehr als zwei Stunden gewartet.
Sien Söhn brummt.,Sein Sohn sitzt.
"Ik weer op de Söök na wat, wat dat nich geven deed.","Ich war auf der Suche nach etwas, das es nicht gab."
He is in ’n annern Lastwagen.,Er ist im anderen Lastwagen.
He hett al lang in Iesland wahnt.,Er hat schon lange in Island gewohnt.
Mien Leven weer in Gefohr.,Mein Leben war in Gefahr.
Tom verleep sik in’n Woold.,Tom verirrte sich im Wald.
Tom verleep sik in’n Woold.,Tom hat sich im Wald verirrt.
"Segg Papa, dat he kamen schall.","Sag Papa, dass er kommen soll."
"Wi hebbt Rechten un Plichten, de in de Verfaten fastleggt sünd.","Wir haben Rechte und Pflichten, die in der Verfassung fixiert sind."
Wat för Wapen harrn se?,Was für Waffen hatten sie?
Ik bün Klock acht bi di tohuus.,Ich bin um acht Uhr bei dir zu Hause.
Ik deed de folgen Ännerung vörsloon.,Ich würde die folgende Änderung vorschlagen.
"Du musst oppassen, dat de Koken nich verbrennt.","Du musst aufpassen, dass der Kuchen nicht verbrennt."
Ik will en Inschenör wesen.,Ich möchte ein Ingenieur werden.
"Ik bün so dumm... Ik versöök di Saken to verkloren, de ik sülvs nich verstah.","Ich bin so blöd... ich versuche, dir Dinge zu erklären, die ich selbst nicht verstehe."
De Snee is weg.,Der Schnee ist verschwunden.
Se wull dor nich mehr över seggen.,"Sie weigert sich, mehr darüber zu sagen."
Ik heff sünnt.,Ich habe gesündigt.
De Büx is smuddelig.,Die Hose ist schmutzig.
Gah liekut.,Geh geradeaus.
Wullt du en Jackvull hebben?,Möchtest du die Jacke voll haben?
Worüm maakst du dat?,Warum machst du das?
Tom hett keen Reekner.,Tom hat keinen Computer.
Tom hett keen Reekner.,Tom hat keinen Rechner.
Tom kennt sien Navers nich.,Tom kennt seine Nachbarn nicht.
Ik schall keen Ieskreem eten.,Ich will keine Eiscreme essen.
Dat Ies in ’t Water is smulten.,Das Eis im Wasser schmolz.
Ik will narms hen.,Ich will nirgendwohin.
Drinkt dien Kinner Melk?,Trinken deine Kinder Milch?
Ik harr nix gegen en Köppken Koffie.,Ich hätte nichts gegen eine Tasse Kaffee.
He deed sien Büx plätten.,Er bügelte seine Hose.
Du schallst mi nich helpen! Ik will dat alleen doon.,Hilf mir nicht! Ich will das allein tun.
Dor blafft en Hund in de Naverschop.,Ein Hund bellt in der Nachbarschaft.
"Is dat nich so, dat wi all naakt in ins Kledaasch steekt?","Ist es nicht so, dass wir alle nackt in unseren Kleidern stecken?"
Woneem is dien Kamer?,Wo ist dein Zimmer?
"He seed, dat he in Afrika boren is.","Er sagt, er sei in Afrika geboren."
Tööv bet söss.,Warte bis sechs.
Ik bün nich doov.,Ich bin nicht taub.
Kennst du all Bookstaven?,Kennst du alle Buchstaben?
Büst du noch jümmer in Florida?,Bist du noch immer in Florida?
"Ik ween elk Kehr, wenn ik dit Leed höör.","Ich weine jedes Mal, wenn ich dieses Lied höre."
Ik wahn bi mien Unkel.,Ich wohne bei meinem Onkel.
"Wenn de Heven fallt, so liggt wi dor all ünner.","Wenn der Himmel herunter fällt, dann liegen wir alle darunter."
De Bruud deed ehren Willen dörsetten.,Die Braut setzte ihren Willen durch.
Ik bün Klock söss trügg.,Ich bin um sechs Uhr zurück.
De Perfesser lehrt Tschechsch.,Der Professor unterrichtet Tschechisch.
Laat den Buur sien Swien.,Lass dem Bauern sein Schwein.
Worüm hest du dat vergeten?,Warum hast du das vergessen?
Se töög mi mit ehr Ogen ut.,Sie zog mich mit Blicken aus.
Dor nich för!,Nichts zu danken.
Dor nich för.,Gern geschehen.
Dor nich för.,Nichts zu danken.
Ken sprüng över de Müür.,Ken sprang über die Mauer.
Nich in mien Goorn.,Nicht in meinem Garten.
Maak dat sülvs!,Mach es selber!
Maak dat sülvs!,Mache das selbst!
Mien Wark is daan.,Meine Arbeit ist getan.
As jungen Keerl harr ik veel Hoor op ’n Kopp un keen op de Bost. Nu is dat jüst annersrüm.,Als Jugendlicher hatte ich viele Haare auf dem Kopf und keins auf der Brust. Jetzt ist es genau umgekehrt.
Wi gaht na ’n Karkhoff.,Wir gehen zum Friedhof.
"Ik heff veel Frünnen, de mi helpt.","Ich habe viele Freunde, die mir helfen."
"Wat he bruukt, is keen Geld, man Leevd.","Was er braucht, ist kein Geld, sondern Liebe."
Dat Dörp is von de Butenwelt afsneden.,Das Dorf ist von der Außenwelt abgeschnitten.
Worüm sünd de hier?,Wieso sind sie hier?
Keeneen snackt mit mi.,Keiner spricht mit mir.
Ööl is in dit Land roor.,Öl ist in diesem Land selten.
He is to Foot na Huus gahn.,Er ist zu Fuß nach Hause gegangen.
"Slaap good, Timmy.","Schlaf gut, Timmy."
"Ik heff Lust, vonavend eten to gahn.","Ich habe Lust, heute Abend essen zu gehen."
Ik gah geern alleen to Foot.,Ich gehe gerne allein zu Fuß.
Se güng rop in ehr Slaapkamer.,Sie ging hinauf in ihr Schlafzimmer.
Wat süst du op dat Bild?,Was siehst du auf dem Bild?
Wo kennst du em von?,Von wo kennst du ihn?
He will nix seggen.,Er will nichts sagen.
He is von sien Frünn utlacht worrn.,Er wurde von seinen Freunden ausgelacht.
Wo wullt du op af?,Worauf willst du hinaus?
Wies mi dat op de Koort.,Zeige es mir auf der Karte.
Worüm büst du na Japan gahn?,Warum bist du nach Japan gegangen?
Ik harr geern dree von de dor.,Ich hätte gern drei von denen da.
Wo steiht GNP för?,Wofür steht GNP?
"He stünn op ’n Schamel, as en Stalen breken deed, dat he sik den Dööts an ’n Etelschapp anslöög.","Er stand auf einem Schemel, als ein Bein abbrach, so dass er sich den Kopf am Vorratsschrank angeschlagen hat."
Mit en Köpper deed he in ’t Water duken.,Mit einem Kopfsprung tauchte er in das Wasser.
De Franzosen sünd uns Frünn.,Die Franzosen sind unsere Freunde.
Ik överlegg mi dat noch maal.,Ich überlege es mir noch mal.
De Bööm sünd in en Afstand von dörtig Meter plant.,Die Bäume sind im Abstand von 30 Metern gepflanzt.
Kann ik wat to drinken hebben?,Könnte ich etwas zu trinken haben?
De Appel is riep.,Der Apfel ist reif.
Ik weer op ’n Barg.,Ich war auf dem Berg.
Se is twee Johr jünger as ik.,Sie ist zwei Jahre jünger als ich.
"Wisch di nie de Ogen, wenn du smuddelige Hannen hest.","Reibe dir nie die Augen, wenn du schmutzige Hände hast."
Disse Barg is 3000 Meter hoog.,Dieser Berg hat eine Höhe von 3000 Metern.
Wi sünd Klock söss an ’n Bahnhoff ankamen.,Wir sind um sechs Uhr am Bahnhof angekommen.
He deed önnig Mairaan un Kommuum an ’e Supp.,Er macht ordentlich Majoran und Kardamom an die Suppe.
Kiek di dat Book op ’n Disch an.,Schau dir das Buch auf dem Tisch an.
Kiek di dat Book op ’n Disch an.,Schaue dir das Buch auf dem Tisch an.
"Allens, wat ik heff, sünd Böker.","Alles was ich habe, sind Bücher."
Se is nich bang vör Snaken.,Sie hat keine Angst vor Schlangen.
Ik heff sowat noch nie sehn.,Ich habe so etwas noch nie gesehen.
Se driggt jümmer swart.,Sie trägt immer Schwarz.
De Mann hett dat Brood eten.,Der Mann hatte das Brot gegessen.
He versteiht gorkeen Franzöösch.,Ich verstehe überhaupt kein Französisch.
He versteiht gorkeen Franzöösch.,Er versteht gar kein Französisch.
Du musst op disse Fragen nich antern.,Du musst diese Fragen nicht beantworten.
Wat verwacht he?,Was erwartet er?
Ik lööp so gau ik kunn üm ehr intokriegen.,Ich lief so schnell ich konnte um sie einzuholen.
Ik bün noch nich sowiet.,Ich bin noch nicht so weit.
De Feldmüüs hebbt de Buurn jemehr Koorn opfreten.,Die Feldmäuse haben das Getreide der Bauern aufgefressen.
Dat weer mien Satz!,Das war mein Satz!
Kannst du mi vergeven?,Kannst du mir verzeihen?
De Mann driggt en Brill.,Der Mann trägt eine Brille.
Wannehr geihst du trügg na Japan?,Wann fährst du zurück nach Japan?
Gode Nacht un drööm fein.,Gute Nacht und träum was Schönes.
Dat Schipp is nu in ’n Haven.,Das Schiff ist jetzt im Hafen.
Wo hest du över snackt?,Worüber hast du gesprochen?
Ik föhr geern Ski.,Ich fahre gern Ski.
Dat is nich wichtig.,Das ist nicht wichtig.
"Allens wat he weet, is, dat he nich weet dat he dat weet.","Alles, was er weiß, ist, dass er nicht weiß, dass er das weiß."
Ik bün mit Baden trech.,Ich bin mit dem Baden fertig.
He und se sünd lieker groot.,Er und sie sind gleich groß.
Ik heff Verwandte in Boston.,Ich habe Verwandte in Boston.
Büst du na ’n Dokter gahn?,Bist du zum Arzt gegangen?
De Lamp is grau.,Die Lampe ist grau.
Wüllt wi joggen?,Sollen wir joggen?
He hett twölv Kinner.,Er hat zwölf Kinder.
"Häbt ji häört, dat en Daiw in mien Naobern sin Huus inbruoken hät?","Habt ihr gehört, dass ein Dieb in das Haus meines Nachbarn eingebrochen ist?"
Up Tom sien Schrievdisch sünd en poor Beuker.,Auf Toms Schreibtisch sind einige Bücher.
He harr sien Söcken verkehrt rüm an.,Er hatte seine Socken verkehrt herum an.
He harr sien Söcken verkehrt rüm an.,Er hat seine Socken verkehrt herum an.
Bedeen di.,Bedien dich.
Se hett em wat to eten geven.,Sie hat ihm etwas zu essen gegeben.
Se hett em wat to eten geven.,Sie gab ihm etwas zu essen.
Dat is gladd as de Moors von en Baby.,Das ist glatt wie ein Babypopo.
Se hett em dat Foto wiest.,Sie zeigte ihm das Foto.
De dree Jungs keken sik an.,Die drei Jungen sahen sich an.
Ik heff good slapen vonnacht.,Ich habe heute Nacht gut geschlafen.
Wi mööt ganz vörsichtig wesen.,Wir müssen ganz vorsichtig sein.
Ik will nu nix to Avend eten.,Ich will jetzt nicht zu Abend essen.
He behr sik as en Kind.,Er benahm sich wie ein Kind.
Dit Huus is temlich lütt.,Dieses Haus ist ziemlich klein.
Se misst em.,Sie fehlt ihm.
Roop man foorts na ’n Dokter oder ’n Patient schall dat slechter gahn.,Rufe sofort den Doktor oder dem Patienten wird es schlimmer gehen.
Wo sünd ehr Daagbläder?,Wo sind ihre Zeitungen?
Ik heff en Granaat.,Ich habe eine Granate.
Ik kenn em al mehr as teihn Johr.,Ich kenne ihn seit mehr als zehn Jahren.
De Maschien harr sik mit Smeer dichtsett.,Die Maschine hatte sich mit Schmiere zugesetzt.
Ik harr geern ’n Gavel.,Ich hätte gerne eine Gabel.
Veel Vagels sitt op den Ast.,Viele Vögel sitzen auf dem Ast.
Ik wahn glieks dor achtern.,Ich wohne gleich da drüben.
Disse Steveln sünd ut Ledder.,Diese Stiefel sind aus Leder.
Ik eet Ries.,Ich esse Reis.
Büst du noch to redden?,Bist du noch zu retten?
In Tokyo hett dat en groot Eerdbeven geven.,In Tokio gab es ein großes Erdbeben.
Melk maakt uns stark.,Milch macht uns stark.
"Dat is dat Book, dat du söcht hest.","Das ist das Buch, das du gesucht hast."
Willkamen bi Tatoeba.,Willkommen bei Tatoeba.
Tom blifft bi us.,Tom bleibt bei uns.
Napoleon deed in ’t Exil op dat Eiland Elba leven.,Napoleon lebte auf der Insel Elba im Exil.
Wat för en Deert is groot?,Welches Tier ist groß?
Se is bannig stolt op ehr sammelt Breevmarken.,Sie ist sehr stolz auf ihre Briefmarkensammlung.
"China grenzt an Pakistan, Indien, Afghanistan, Tadschikistan, Kirgisien, Kasachstan, Noordkorea, Laos, Vietnam, Nepal, Bhutan, Myanmar, de Mongolei un Russland.","China grenzt an Pakistan, Indien, Afghanistan, Tadschikistan, Kirgisien, Kasachstan, Nordkorea, Laos, Vietnam, Nepal, Bhutan, Myanmar, die Mongolei und Russland."
Dat is nich de beste Antwoort.,Das ist nicht die beste Antwort.
"Se wull nich, dat he Poker speelt.","Sie wollte nicht, dass er Poker spielt."
"Dat keem rut, dat dat, wat he bi de Schandarms vertellt harr, nich wohr wesen is.","Es kam heraus, dass das, was er der Polizei erzählt hatte, nicht wahr war."
Düsse Spraak is unutspreekbar!,Diese Sprache ist unaussprechbar!
Ik will in en Slott leven.,Ich möchte in einem Schloss wohnen.
Tom hett dat Licht nich utmookt.,Tom hat das Licht nicht ausgeschaltet.
Nüms höllt mi op!,Niemand hält mich auf!
In Schokolaad is mehr Iesen in as in Spinaat.,Schokolade enthält mehr Eisen als Spinat.
De Goorner hett ’n Knick liek snöödt.,Der Gärtner hat die Hecke gerade geschnitten.
De Weg is lang.,Der Weg ist lang.
To Paosken blaiet de Kiäsenbäume.,Zu Ostern blühen die Kirschbäume.
Mien Naver is vörige Nacht fastnahmen worrn.,Mein Nachbar ist gestern Nacht festgenommen worden.
